step,ar_loss,diff_loss,conf_accuracy,learning_rate
1,3.3891,10.8097,0.0,0.0
100,3.2896,7.4271,0.0,1.48e-05
200,3.1389,7.1091,0.0,2.98e-05
300,3.1297,7.0867,0.0,4.48e-05
400,3.1653,7.0007,0.0,5.98e-05
500,3.2804,6.8927,0.0,7.49e-05
600,3.1016,6.9518,0.0,8.98e-05
700,3.0776,6.8323,0.0,0.000105
800,3.1526,6.7412,0.0,0.00012
900,3.4347,6.8456,0.0,0.000135
1000,3.1169,6.5437,0.0,0.00015
1100,3.1571,6.7956,0.9496,0.000165
1200,3.0827,6.827,0.9496,0.00018
1300,3.0052,6.5745,0.9496,0.000195
1400,3.2158,6.7148,0.9496,0.00021
1500,3.0195,6.264,0.9496,0.000225
1600,3.2015,6.596,0.9496,0.00024
1700,3.1485,6.5817,0.9496,0.000255
1800,3.3529,6.6878,0.9496,0.00027
1900,3.1269,6.6539,0.9496,0.000285
2000,3.1372,6.5385,0.9496,0.0003
2100,3.1386,6.5327,0.9356,0.0003
2200,3.1859,6.5038,0.9356,0.0003
2300,3.1597,6.477,0.9356,0.0003
2400,3.1474,6.4763,0.9356,0.0003
2500,3.2149,6.5368,0.9356,0.0003
2600,3.1916,6.4629,0.9356,0.0003
2700,3.2177,6.5877,0.9356,0.0003
2800,3.2338,6.4986,0.9356,0.0003
2900,3.2811,6.5791,0.9356,0.0003
3000,3.3059,6.6181,0.9356,0.0003
3100,3.2868,6.3574,0.9245,0.0003
3200,3.2486,6.4666,0.9245,0.0003
3300,3.2891,6.5588,0.9245,0.0003
3400,3.2854,6.5072,0.9245,0.000299
3500,3.2076,6.508,0.9245,0.000299
3600,3.2405,6.3087,0.9245,0.000299
3700,3.0663,6.2386,0.9245,0.000299
3800,3.2088,6.2918,0.9245,0.000299
3900,3.3146,6.4368,0.9245,0.000299
4000,3.3051,6.3805,0.9245,0.000299
4100,3.3036,6.5027,0.9161,0.000299
4200,3.1187,6.3963,0.9161,0.000299
4300,3.3083,5.9547,0.9161,0.000298
4400,3.1533,6.2086,0.9161,0.000298
4500,3.35,6.0331,0.9161,0.000298
4600,3.2715,6.3042,0.9161,0.000298
4700,3.3171,6.2855,0.9161,0.000298
4800,3.2715,6.2014,0.9161,0.000298
4900,3.2434,6.497,0.9161,0.000298
5000,3.2933,6.2169,0.9161,0.000297
5100,3.4141,6.8121,0.911,0.000297
5200,3.2448,6.0801,0.911,0.000297
5300,3.2144,6.3171,0.911,0.000297
